Variable,Type,Param,StartTime,EndTime,startdate,enddate
SNH,noise,,0.1,609.0,2023-01-01 02:24:00,2024-09-01 00:00:00
SO,noise,,0.1,609.0,2023-01-01 02:24:00,2024-09-01 00:00:00
Temperature,noise,,0.1,609.0,2023-01-01 02:24:00,2024-09-01 00:00:00
SNO,noise,,0.1,609.0,2023-01-01 02:24:00,2024-09-01 00:00:00
SS,noise,,0.1,609.0,2023-01-01 02:24:00,2024-09-01 00:00:00
FlowRate,noise,,0.1,609.0,2023-01-01 02:24:00,2024-09-01 00:00:00
SNH,bias,,367.0,368.9,2024-01-03 00:00:00,2024-01-04 21:36:00
SNH,bias,,373.0,374.0,2024-01-09 00:00:00,2024-01-10 00:00:00
SNH,spike,,411.0,414.0,2024-02-16 00:00:00,2024-02-19 00:00:00
SNH,spike,,495.25,495.35,2024-05-10 06:00:00,2024-05-10 08:24:00
SNH,scaling,,551.0,551.7,2024-07-05 00:00:00,2024-07-05 16:48:00
SNH,scaling,,551.8,552.7,2024-07-05 19:12:00,2024-07-06 16:48:00
SNH,spike,,566.0,567.1,2024-07-20 00:00:00,2024-07-21 02:24:00
SNH,scaling,,588.75,589.35,2024-08-11 18:00:00,2024-08-12 08:24:00
SNH,spike,,599.0,599.78,2024-08-22 00:00:00,2024-08-22 18:43:12
SNH,scaling,,600.0,600.75,2024-08-23 00:00:00,2024-08-23 18:00:00
SNO,bias,,367.0,368.1,2024-01-03 00:00:00,2024-01-04 02:24:00
SNO,drift,,399.7,401.3,2024-02-04 16:48:00,2024-02-06 07:12:00
SNO,drift,,401.3,401.9,2024-02-06 07:12:00,2024-02-06 21:36:00
SNO,spike,,488.0,489.2,2024-05-03 00:00:00,2024-05-04 04:48:00
SNO,scaling,,489.2,489.9,2024-05-04 04:48:00,2024-05-04 21:36:00
SNO,drift,,507.75,508.55,2024-05-22 18:00:00,2024-05-23 13:12:00
SNO,spike,,511.0,512.8,2024-05-26 00:00:00,2024-05-27 19:12:00
SNO,bias,,577.95,579.15,2024-07-31 22:48:00,2024-08-02 03:36:00
SNO,scaling,,579.25,581.2,2024-08-02 06:00:00,2024-08-04 04:48:00
SNO,scaling,,595.0,596.4,2024-08-18 00:00:00,2024-08-19 09:36:00
SO,bias,,377.24,378.09,2024-01-13 05:45:36,2024-01-14 02:09:36
SO,drift,,398.27,399.75,2024-02-03 06:28:48,2024-02-04 18:00:00
