SI,SS,XI,XS,XBH,XBA,XP,SO,SNO,SNH,SND,XND,SALK,TSS,FlowRate,Temperature
28.62299489,0.811113908,1602.677225,37.5646299,2164.449505,161.9478645,945.3144251,1.477068053,8.200034857,0.713954796,0.593770412,2.796607041,4.589107437,3683.965237,103533,15.03052034
28.60239845,0.795664582,1573.005759,37.24147608,2187.489184,164.3541592,956.4632212,1.484386643,8.276136632,0.671683737,0.620629171,2.705690842,4.547688186,3688.91535,97499.1089,14.92983192
28.52639836,0.785327484,1557.762291,37.02173274,2208.459204,165.9912473,962.392302,1.54367791,8.346963737,0.631754523,0.614412613,2.661633664,4.52820068,3698.720083,96931.5705,14.86936225
28.46910021,0.774511736,1552.269618,36.74933865,2227.313668,167.2013989,965.9150977,1.658727625,8.406608096,0.564428756,0.606189237,2.636331122,4.524899501,3712.086841,96275.81776,14.82614939
28.44329493,0.762351328,1554.096477,36.38177052,2244.340038,168.2480337,968.8181129,1.848328705,8.442022247,0.478198867,0.599296763,2.615312085,4.531013604,3728.913324,95632.18554,14.79507051
28.44195619,0.749192096,1561.053549,35.94012653,2259.779422,169.2547039,972.0222902,2.10883823,8.443176039,0.388501704,0.593059973,2.593377671,4.541841157,3748.537569,95038.52601,14.77481364
28.4546145,0.735684754,1571.084676,35.46050329,2273.838526,170.2552608,975.8661263,2.419731615,8.406504453,0.307647415,0.586899565,2.569703682,4.554734342,3769.878819,94517.85544,14.76395413
28.47280885,0.722355906,1582.479236,34.97201824,2286.710318,171.2430224,980.3478991,2.751176097,8.336131666,0.241273381,0.580656738,2.544960721,4.568183909,3791.81437,94049.09045,14.76045885
28.49116067,0.709508484,1593.996018,34.49177327,2298.564078,172.1992188,985.2977915,3.074956945,8.241022841,0.190108277,0.574394201,2.520012465,4.581343821,3813.41166,93620.0438,14.7620668
28.50691318,0.69727258,1604.864765,34.02760455,2309.535336,173.1063728,990.4922195,3.370014483,8.131041692,0.152851852,0.568221879,2.495531127,4.593865726,3834.019723,93214.25779,14.76670012
28.5191025,0.685691505,1614.708119,33.58267319,2319.724697,173.9533229,995.7225665,3.622803463,8.014617662,0.127395478,0.56221267,2.47200922,4.605710144,3853.268534,92812.03461,14.77270139
28.52780669,0.674790699,1623.435705,33.1592315,2329.209775,174.7363755,1000.831372,3.827492766,7.897884686,0.110939419,0.556404909,2.449865559,4.616954462,3871.029344,92430.67965,14.77890358
28.53359781,0.664596617,1631.137866,32.75974441,2338.058875,175.4582077,1005.723457,3.986928676,7.784507688,0.100439018,0.550846328,2.429449688,4.627704247,3887.353613,92080.97355,14.78459005
28.53719635,0.655122618,1637.990968,32.38609714,2346.332805,176.1251926,1010.357113,4.110386292,7.675996287,0.093457166,0.545606102,2.410962709,4.63808542,3902.394131,91761.59104,14.78939937
28.53928086,0.64636101,1644.182446,32.03893054,2354.07339,176.7441937,1014.723779,4.208252371,7.572495394,0.088499648,0.540746014,2.394421571,4.64821944,3916.322055,91467.24488,14.79321839
