file,column,fault_type,start_time,end_time
r1,S_O,scaling,8.469,8.993
r1,S_O,stuck,1.634,2.553
r1,S_O,drift,2.458,2.896
r1,Temp,noise,3.576,4.21
r1,Flow_influent,scaling,12.148,13.326
r1,Flow_influent,spike,3.899,5.279
r1,Flow_influent,dropout,4.363,4.848
r1,S_NO3_reactor,scaling,3.415,4.88
r1,S_NO3_reactor,scaling,12.266,12.844
r1,S_NO3_reactor,drift,13.257,14.561
r1,Temp_reactor,drift,13.052,13.614
r2,S_O,stuck,8.719,9.135
r2,S_O,stuck,11.743,12.705
r2,Temp,scaling,11.403,12.726
r2,Temp,spike,12.198,12.925
r2,Temp,bias,13.368,13.648
r2,Flow_influent,drift,7.221,7.983
r2,Flow_influent,scaling,13.421,14.065
r2,Flow_influent,stuck,10.73,12.065
r2,S_NO3_reactor,noise,6.506,8.002
r2,Temp_reactor,noise,4.405,5.249
r2,Temp_reactor,dropout,1.506,2.2
r4,S_O,bias,11.442,12.758
r4,S_O,drift,11.594,13.016
r4,S_O,stuck,11.816,13.173
r4,Temp,drift,7.727,9.008
r4,Flow_influent,spike,12.575,12.878
r4,Flow_influent,spike,10.128,11.391
r4,S_NO3_reactor,spike,4.427,4.684
r4,S_NO3_reactor,bias,3.941,5.395
r4,S_NO3_reactor,bias,3.768,4.976
r4,Temp_reactor,noise,5.601,6.822
r4,Temp_reactor,dropout,7.705,8.378
r4,Temp_reactor,spike,13.338,13.894
r5,S_O,noise,4.995,5.852
r5,S_O,noise,1.776,3.014
r5,Temp,dropout,9.838,10.349
r5,Temp,noise,4.209,4.906
r5,Flow_influent,dropout,2.638,4.039
r5,Flow_influent,bias,6.325,6.84
r5,S_NO3_reactor,spike,11.071,12.553
r5,S_NO3_reactor,drift,13.401,13.951
r5,Temp_reactor,dropout,0.615,1.765
r5,Temp_reactor,noise,1.958,2.435
r5,Temp_reactor,spike,11.622,12.166
